"","year","BKVOL","EBOOK","AUDIO","VIDEO","TOTCIR","KIDCIRCL","bookCh","ebookCh","audioCh","videoCh","cirCh","kidCirCh"
"1",1992,1880975,NA,244624,6736,2183579,698134,NA,NA,NA,NA,NA,NA
"2",1993,1873679,NA,237940,7177,1982180,617406,-0.387883943167772,NA,-2.73235659624567,6.54691211401425,-9.22334387718512,-11.5633961388501
"3",1994,2165154,NA,259485,8306,1905961,562956,15.5562932604784,NA,9.05480373203329,15.7308067437648,-3.84521082848177,-8.81915627642103
"4",1995,2662341,NA,319487,8870,1803599,551425,22.9631241011032,NA,23.1234946143322,6.79027209246328,-5.37062405788996,-2.04829507101798
"5",1996,2812565,NA,326624,8212,1526448,479967,5.64255292616536,NA,2.23389371085521,-7.41826381059752,-15.3665532083351,-12.9587885931904
"6",1997,2863296,NA,322214,7667,1476935,482437,1.80372720274909,NA,-1.35017634956402,-6.63662932294204,-3.2436742031173,0.514618713369878
"7",1998,2950741,NA,325630,8362,1430882,498949,3.05399791010081,NA,1.06016498352027,9.06482326855354,-3.11814670246152,3.42262305751839
"8",1999,2344516,NA,264940,14143,1418092,480998,-20.5448394149131,NA,-18.6377176550072,69.1341784262138,-0.893854280087387,-3.59776249676821
"9",2000,2384631,NA,240542,15948,1071807,349775,1.71101412828917,NA,-9.20887748169397,12.7624973485116,-24.4190785929263,-27.2814024174737
"10",2001,2471510,NA,298035,17320,1190610,378288,3.64328904555883,NA,23.9014392496944,8.60295961876097,11.0843650022812,8.15181187906511
"11",2002,2649693,NA,68405,19276,1224362,394521,7.20947922525096,NA,-77.0479977183888,11.2933025404157,2.83484936293161,4.2911749777947
"12",2003,2536089,0,65853,20079,1155260,387185,-4.28744009211633,NA,-3.73072143849134,4.16580203361693,-5.64391903701683,-1.85947009157941
"13",2004,2435548,0,63019,21542,1063987,356635,-3.96441134360821,NA,-4.30352451672665,7.28621943323871,-7.90064574208403,-7.89028500587574
"14",2005,2263934,0,66312,23243,1128870,345692,-7.04621711417718,NA,5.22540821022231,7.89620276668833,6.09810082266043,-3.06840326944916
"15",2006,2172072,0,67523,69212,1198605,367047,-4.05762712163871,NA,1.82621546628061,197.775674396593,6.17741635440751,6.17746433241151
"16",2007,2097109,0,64806,70950,1462531,447868,-3.45122076984557,NA,-4.02381410778549,2.51112523839797,22.0194309217799,22.0192509406152
"17",2008,2063269,1999,94321,65183,1781862,525469,-1.61365002963604,Inf,45.5436225040891,-8.12825933756166,21.8341354815727,17.3267569908991
"18",2009,2129573,11059,116891,103276,2337536,604336,3.2135412299608,453.226613306653,23.9289235695126,58.4400840710001,31.1850188173944,15.0088777834658
"19",2010,1904030,12782,111650,121393,2712775,662601,-10.5909964110176,15.5800705307894,-4.48366426842101,17.5423137999148,16.0527581179498,9.64115988456753
"20",2011,1465874,15316,95045,132700,3059432,889477,-23.0120323734395,19.8247535596933,-14.8723690103,9.31437562297661,12.7786860318309,34.240213944742
"21",2012,1334479,19516,95717,134021,3363313,1087107,-8.96359441534538,27.4223034734918,0.707033510442422,0.995478522984175,9.932595331421,22.218674569438
"22",2013,1802305,80939,99374,139924,3295485,1095519,35.0568274210385,314.73150235704,3.82063792220818,4.40453361786586,-2.01670198402587,0.773796875560547
"23",2014,1815540,177086,102570,141471,3938767,1464871,0.734337417917611,118.789458728178,3.21613299253326,1.10560018295646,19.5201009866529,33.7147963659234
